codigo,producto,precio_c_iva,,,,
JSA-147,Junta Peugeot 403 - 1 Boca,736.95,,,,
JSA-148,Junta Peugeot 404 - 1 Boca,932.6,,,,
JSA-149,Junta Peugeot 404 y 504 - 2 Bocas,1565.21,,,,
JSA-149/1,Junta Peug.404 y 504 - 2 Bocas Laminada,4010.83,,,,
JSA-152,Junta Perkins 6 Cil.Motor 6-354 aro,4930.66,,,,
JSA-156,Junta Rastrojero-52 HP-P63(61/68),1565.21,,,,
JSA-157,Junta Rastrojero Indenor Plana,1226.89,,,,
JSA-158,Junta Renault R12,1565.21,,,,
JSA-158/1,Junta Renault R12 Laminada,4010.83,,,,
JSA-163,Junta Torino 380 TS,2836.92,,,,
JSA-165,Junta Opel K180,1682.59,,,,
JSA-165/1,Junta Opel K180 - Laminada,4989.08,,,,
JSA-166,Junta Torino 7 bancadas,2836.92,,,,
JSA-169,Junta Mercedes Benz 1514-1517,3423.87,,,,
JSA-170,Junta Peugeot 505 y 504 - 2 Bocas(82/84),1858.67,,,,
JSA-170/1,Junta Peug.505 y 504-2 Bocas(82/84)Lam.,4989.08,,,,
JSA-171,Junta Dodge D-100-4 agujeros,2445.62,,,,
JSA-186,Junta Toyota,2445.62,,,,
JSA-187,Junta R18 - Fuego - Trafic,1858.67,,,,
JSA-187/1,Junta R18 - Fuego - Trafic Laminada,5282.54,,,,
JSA-189,Junta Fiat 147 Diesel,1565.21,,,,
JSA-190,Junta Volkswagen Gacel,1565.21,,,,
JSA-190/1,Junta Volkswagen Gacel Laminada,4989.08,,,,
JSA-191,Junta Peugeot Motor 2000,2054.33,,,,
JSA-192,Junta Peugeot 405 Diesel Ligero,1858.67,,,,
JSA-193,Junta Volkswagen kombi,1840.35,,,,
JSA-194,Junta Datsun 1600-1800-2000,2445.62,,,,
JSA-196,Junta Ford Sierra,1813.02,,,,
JSA-198,Junta Ford Escort Plana,1682.59,,,,
JSA-201,Junta Fiat Uno Motor Tipo,1565.21,,,,
JSA-201/1,Junta Fiat Uno Motor Tipo Laminada,4010.83,,,,
JSA-202,Junta Corsa-Fiat Uno y Duna-Aro Hierro,4597.77,,,,
JSA-203,"Junta Ford Max Econo Aro Hierro 1""7/8",4597.77,,,,
JSA-204,Junta R18 Juniors,1565.21,,,,
JSA-205,Junta Nissan,2445.62,,,,
JSA-205/1,Junta Nissan 6 Cilindros,2325.91,,,,
JSA-206,Junta Mercedes Benz 1215,4499.95,,,,
JSA-208,Junta Fiat Duna-Aro Amianto Int.,1076.08,,,,
JSA-209,Junta R19 Aro hierro chico,4597.84,,,,
JSA-213,Junta Ford Orion,3554.3,,,,
JSA-215,Junta Peugeot 405 y 205 Anillo,1565.22,,,,
JSA-216,Junta Volkswagen Senda Diesel,1565.21,,,,
JSA-217,Junta Chevette,2054.33,,,,
JSA-218,Junta Ford Fiesta,1813.02,,,,
JSA-219,Junta Peugeot 306,2836.92,,,,
JSA-220,Junta R19 1700/1800 Anillo,1369.54,,,,
JSA-222,Junta Volkswagen Gol GLI,1682.59,,,,
JSA-225,Junta Fiat Palio,1565.21,,,,
JSA-226,Junta Indenor XD2 Ligero,1565.21,,,,
JSA-227,Junta Chevrolet Monza 1800,3326.04,,,,
JSA-228,Junta Peugeot 405,1565.21,,,,
JSA-229,Junta Renault Clio / Fiat toro 2.0 td,1565.21,,,,
JSA-230,Junta Renault Cl¡o Inyecci¢n-Acople,1565.21,,,,
JSA-231,Junta Fiat Palio - Siena Torque,1565.21,,,,
JSA-234,Junta Peugeot 205 Inyecci¢n,1858.67,,,,
JSA-235,Junta Ford Mondeo Aro Hierro,4294.14,,,,
JSA-236,Junta MWM 229,3717.35,,,,
JSA-237,Junta Chevrolet Blazer Diesel,2152.15,,,,
JSA-238,Junta Chevrolet Blazer Nafta,2152.15,,,,
JSA-239,Junta Dodge Ne¢n Aro Hierro,2453.8,,,,
JSA-240,Junta Volkswagen Gol 1.8I,1565.21,,,,
JSA-241,Junta Volkswagen Gol 2.0 I,2739.1,,,,
JSA-242,Junta Mercedes Benz 1522,6589.6,,,,
